   ,PART_NO,ORDER_DATE,ORDER_NO,HISTORY_NO,DATE_ENTERED,USERID,MESSAGE_TEXT,HIST_OBJSTATE,HIST_STATE,OBJKEY,OBJVERSION,OBJID
1,992800103,3/14/2023,284,5654,4/24/2023 11:36:03 AM,A.ESMAEILI,Received,Received,Received,EE833C5ADFDD486CB6AD8FAD49C60A6E,20230424113603,AAAaz0AAFAAFSDdAAd
2,992800103,5/23/2023,1050,24247,7/13/2023 02:05:00 PM,F.BAHRAMINEJAD,Received,Received,Received,6ABFE66C352F414E828AB1AE9D84F32E,20230713140500,AAAaz0AAFAAGMKkAAW
3,992800103,6/4/2023,1151,18736,6/20/2023 07:49:31 AM,A.ESMAEILI,Received,Received,Received,F44B791EC3AD4386BD5201958DCD13ED,20230620074931,AAAaz0AAFAAFO7xAAS
4,992800103,7/23/2023,1951,30999,8/12/2023 07:33:01 AM,A.ESMAEILI,Received,Received,Received,60CC61AC063F428FB00E0BC63AAD0DAA,20230812073301,AAAaz0AAFAAGdviAAM
5,992800103,7/30/2023,1984,31927,8/16/2023 09:35:57 AM,M.ROSTAMI,Received,Received,Received,10DE0F8072DE4783B9159BBF87E84BF1,20230816093557,AAAaz0AAFAAF+y8AAJ
6,992800103,8/28/2023,2511,39056,9/21/2023 09:04:51 AM,M.ROSTAMI,Received,Received,Received,426A96AE06554F93A03E82A03CBE2DEC,20230921090451,AAAaz0AAFAAEFywAAx
7,992800103,9/4/2023,2509,38983,9/20/2023 02:49:05 PM,A.ESMAEILI,Received,Received,Received,2EC7BA4B42424FA29AA9B020DB72EF84,20230920144905,AAAaz0AAFAAEFzzAAV
8,992800103,9/12/2023,2530,42971,10/13/2023 05:01:39 PM,M.ROSTAMI,Received,Received,Received,CD71A5B03F094B93A33E7A0D71FC68CE,20231013170139,AAAaz0AAFAAEFyuAA4
9,992800103,11/26/2023,3649,57614,12/18/2023 01:27:56 PM,M.ROSTAMI,Received,Received,Received,9BF4E8A57835493EBDA2E0BD78D5936E,20231218132756,AAAaz0AAFAAEFz0AAB
10,992800103,1/3/2024,4542,74870,2/23/2024 11:31:27 AM,M.ROSTAMI,Received,Received,Received,748E2D491E5848DA805069C849002FB1,20240223113127,AAAaz0AAFAADMQMAAV
11,992800103,2/15/2024,4740,77589,3/5/2024 07:36:28 AM,A.ESMAEILI,Received,Received,Received,24D174760A304273A9F463C1135BE829,20240305073628,AAAaz0AAFAADMRPABA
12,992800103,5/8/2024,5777,94079,5/29/2024 08:44:24 AM,A.ESMAEILI,Received,Received,Received,CC8DB5D1C17244CE82789314EBEB2BE3,20240529084424,AAAaz0AAFAADMRkAAV
13,992800103,7/13/2024,6895,114306,8/23/2024 02:03:24 PM,M.ROSTAMI,Received,Received,Received,E3592DB4C0C94F6CA5B6F09D62BFA1FE,20240823140324,AAAaz0AAFAAHSyYAAw
14,992800103,9/29/2024,8168,131682,11/2/2024 03:38:16 PM,A.ESMAEILI,Received,Received,Received,2E612BC0F8524045827C09364580EED8,20241102153816,AAAaz0AAFAAMbRLAAt
15,992800103,11/18/2024,8616,141050,12/12/2024 03:04:23 PM,M.ROSTAMI,Received,Received,Received,6F08244413894B6194B36BFF73411087,20241212150423,AAAaz0AAFAAMbRbABE
16,992800103,1/6/2025,10007,160105,2/23/2025 10:55:39 AM,A.ESMAEILI,Received,Received,Received,9258D6B13FC940ADA37D3E4022EDF942,20250223105539,AAAaz0AAYAABMqWAAX
17,992800103,3/16/2025,10917,184219,5/31/2025 12:26:42 PM,M.ROSTAMI,Received,Received,Received,0DE7A6E3AC2A41129230C16FD65DCECE,20250531122642,AAAaz0AAYAABMqVAAl
18,992800103,5/5/2025,11805,191203,7/12/2025 01:57:08 PM,M.ROSTAMI,Received,Received,Received,9B176F44386140CB88B39677B35CA252,20250712135708,AAAaz0AAYAAGS7xABA
19,992800103,6/4/2025,12461,201478,8/20/2025 02:40:40 PM,A.ESMAEILI,Received,Received,Received,5D4F3C13483F45E8909FD79A7CC3795D,20250820144040,AAAaz0AAYAAGS6oAAv
20,992800103,6/10/2025,11740,189852,7/4/2025 04:02:24 PM,M.ROSTAMI,Received,Received,Received,BD61AAD35CD841068537A671523816F9,20250704160224,AAAaz0AAYAAGS7NAAh
21,992800103,9/12/2025,13266,216401,10/14/2025 10:09:05 AM,A.ESMAEILI,Received,Received,Received,155E0FF990A54D48AB23EAE2289FD029,20251014100905,AAAaz0AAYAAGS78AAw
